"Name","Join","Date","Mode"
"Emillen","09:10:35","2017.12.21","join"
"Helitheus","09:11:23","2017.12.21","join"
"Helitheus","09:11:23","2017.12.21","join"
"Gaff","09:12:43","2017.12.21","join"
"Gaff","09:12:43","2017.12.21","join"
"Raitr","09:14:28","2017.12.21","join"
"Raitr","09:14:28","2017.12.21","join"
"Mendacius","09:26:54","2017.12.21","join"
"Ziggizag","09:26:54","2017.12.21","join"
"Yippi","09:26:54","2017.12.21","join"
"Stealthunt","09:26:54","2017.12.21","join"
"Constantlee","09:26:54","2017.12.21","join"
"Gnozina","09:26:54","2017.12.21","join"
"Ivyfang","09:26:54","2017.12.21","join"
"Illsmakyaded","09:26:54","2017.12.21","join"
"Daemontools","09:26:54","2017.12.21","join"
"Tapsu","09:26:54","2017.12.21","join"
"Emillen","09:26:54","2017.12.21","join"
"Gaff","09:26:54","2017.12.21","join"
"Raitr","09:26:54","2017.12.21","join"
"Killakam","09:26:54","2017.12.21","join"
"Lonis","09:26:54","2017.12.21","join"
"Falassion","09:26:54","2017.12.21","join"
"Zaldre","09:26:54","2017.12.21","join"
"Cyanrage","09:27:51","2017.12.21","join"
"Wreaine","09:28:14","2017.12.21","join"
"Nzo","09:28:28","2017.12.21","join"
"Nzo","09:28:28","2017.12.21","join"
"Sesek","09:29:07","2017.12.21","join"
"Sesek","09:29:07","2017.12.21","join"
"Siilf","09:29:23","2017.12.21","join"
"Siilf","09:29:23","2017.12.21","join"
"Veramal","09:30:48","2017.12.21","join"
"Veramal","09:30:48","2017.12.21","join"
"Cyanrage","10:08:37","2017.12.21","join"
"Mendacius","10:08:37","2017.12.21","join"
"Stealthunt","10:08:37","2017.12.21","join"
"Constantlee","10:08:37","2017.12.21","join"
"Gnozina","10:08:37","2017.12.21","join"
"Ivyfang","10:08:37","2017.12.21","join"
"Daemontools","10:08:37","2017.12.21","join"
"Tapsu","10:08:37","2017.12.21","join"
"Emillen","10:08:37","2017.12.21","join"
"Raitr","10:08:37","2017.12.21","join"
"Killakam","10:08:37","2017.12.21","join"
"Lonis","10:08:37","2017.12.21","join"
"Nzo","10:08:37","2017.12.21","join"
"Rorrz","10:08:37","2017.12.21","join"
"Saintgermain","10:08:37","2017.12.21","join"
"Jinxed","10:08:37","2017.12.21","join"
"Sodanickel","10:08:37","2017.12.21","join"
"Remeraz","10:08:37","2017.12.21","join"
"Corgif","10:08:37","2017.12.21","join"
"Sillinhaju","10:08:37","2017.12.21","join"
"Zaldre","10:08:37","2017.12.21","join"
"Veramal","10:08:51","2017.12.21","join"
"Wreaine","10:08:58","2017.12.21","join"
"Rockafella","10:09:04","2017.12.21","join"
"Sesek","10:09:19","2017.12.21","join"
"Healsmeguy","10:09:29","2017.12.21","join"
"Noiry","10:09:38","2017.12.21","join"
"Noiry","10:09:38","2017.12.21","join"
"Gaff","10:09:38","2017.12.21","join"
"Yippi","10:10:00","2017.12.21","join"
"Hupiukko","10:10:17","2017.12.21","join"
"Shrin","10:10:17","2017.12.21","join"
"Furhundredms","10:10:18","2017.12.21","join"
"Furhundredms","10:10:18","2017.12.21","join"
"Ziggizag","10:10:23","2017.12.21","join"
"Jimbaws","10:10:25","2017.12.21","join"
"Pyumanou","10:10:29","2017.12.21","join"
"Falassion","10:10:31","2017.12.21","join"
"Illsmakyaded","10:10:38","2017.12.21","join"
"Helitheus","10:11:00","2017.12.21","join"
"Helitheus","10:11:00","2017.12.21","join"
"Siilf","10:11:56","2017.12.21","join"
"Sherdan","10:12:07","2017.12.21","join"
"Sherdan","10:12:07","2017.12.21","join"
"Sesek","10:15:05","2017.12.21","join"
"Falassion","10:16:06","2017.12.21","join"
"Sesek","10:16:16","2017.12.21","join"
"Saintgermain","10:17:12","2017.12.21","join"
"Illsmakyaded","10:18:21","2017.12.21","join"
"Pyumanou","10:18:37","2017.12.21","join"
"Falassion","10:18:46","2017.12.21","join"
"Jimbaws","10:18:51","2017.12.21","join"
"Hupiukko","10:18:51","2017.12.21","join"
"Kuutar","10:21:20","2017.12.21","join"
"Kuutar","10:21:20","2017.12.21","join"
"Casablancas","10:23:26","2017.12.21","join"
"Casablancas","10:23:26","2017.12.21","join"
"Naraak","10:26:39","2017.12.21","join"
"Naraak","10:26:39","2017.12.21","join"
"Ziggizag","10:27:42","2017.12.21","join"
"Stealthunt","10:27:42","2017.12.21","join"
"Healsmeguy","10:28:08","2017.12.21","join"
"Rockafella","10:28:32","2017.12.21","join"
"Zendaril","10:28:54","2017.12.21","join"
"Zendaril","10:28:54","2017.12.21","join"
"Casablancas","10:29:10","2017.12.21","join"
"Sesek","11:13:36","2017.12.21","join"
"Stormhammer","12:31:04","2017.12.21","join"
"Stormhammer","12:31:04","2017.12.21","join"
"Healsmeguy","12:32:45","2017.12.21","join"
"Zondaril","12:32:52","2017.12.21","join"
"Lonis","12:32:52","2017.12.21","join"
"Zondaril","12:32:52","2017.12.21","join"
"Zahak","12:32:54","2017.12.21","join"
"Sillinhaju","12:32:54","2017.12.21","join"
"Zahak","12:32:54","2017.12.21","join"
"Alfi","12:34:42","2017.12.21","join"
"Alfi","12:34:42","2017.12.21","join"
"Furhundredms","12:35:02","2017.12.21","join"
"Falassion","12:35:10","2017.12.21","join"
"Sesek","12:43:12","2017.12.21","join"
"Jinxed","14:14:53","2017.12.21","join"
"Cyanrage","14:16:41","2017.12.21","join"
"Pyumanou","14:17:40","2017.12.21","join"
"Zondaril","14:17:40","2017.12.21","join"
"Healsmeguy","14:17:43","2017.12.21","join"
"Ziggizag","14:24:45","2017.12.21","join"
"Hupiukko","14:24:45","2017.12.21","join"
"Zaldre","14:24:45","2017.12.21","join"
"Cyanrage","10:16:24","2017.12.19","join"
"Emillen","10:16:24","2017.12.19","join"
"Veramal","10:16:24","2017.12.19","join"
"Ziggizag","10:16:24","2017.12.19","join"
"Healsmeguy","10:16:24","2017.12.19","join"
"Ontohod","10:16:24","2017.12.19","join"
"Nastasha","10:16:24","2017.12.19","join"
"Sillinhaju","10:16:24","2017.12.19","join"
"Zaldre","10:16:24","2017.12.19","join"
"Cyanrage","10:16:24","2017.12.19","join"
"Veramal","10:16:24","2017.12.19","join"
"Ziggizag","10:16:24","2017.12.19","join"
"Ontohod","10:16:24","2017.12.19","join"
"Nastasha","10:16:24","2017.12.19","join"
"Sillinhaju","10:16:24","2017.12.19","join"
"Zaldre","10:16:24","2017.12.19","join"
"Remeraz","09:26:47","2017.12.18","join"
